#Te	K	K+1	K+2	K+3	K+4	K+5	K+6	K+7	K+8	K+9	K+10	K+11	K+12	K+13	K+14	K+15	K+16	K+17	K+18	K+19
7.60	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.14	-6.02	-3.95	-2.23	-0.71	-0.38	-0.41
7.70	--	--	--	--	--	--	--	--	--	--	--	--	--	-9.00	-6.72	-4.51	-2.66	-1.03	-0.46	-0.25
7.80	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.43	-5.08	-3.11	-1.37	-0.58	-0.16
7.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.14	-5.66	-3.56	-1.71	-0.72	-0.10
8.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.83	-6.22	-4.00	-2.04	-0.86	-0.07
8.10	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.76	-4.42	-2.35	-1.00	-0.05
8.20	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.30	-4.83	-2.65	-1.13	-0.03
8.30	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.81	-5.22	-2.93	-1.25	-0.03
8.40	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.32	-5.60	-3.19	-1.37	-0.02
8.50	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.81	-5.97	-3.44	-1.49	-0.01
8.60	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.33	-3.69	-1.60	-0.01
8.70	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.69	-3.92	-1.72	-0.01
8.80	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.04	-4.15	-1.83	-0.01
8.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.38	-4.37	-1.93	-0.01
9.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.73	-4.60	-2.04	-0.00
