#Te	Cl	Cl+1	Cl+2	Cl+3	Cl+4	Cl+5	Cl+6	Cl+7	Cl+8	Cl+9	Cl+10	Cl+11	Cl+12	Cl+13	Cl+14	Cl+15	Cl+16	Cl+17
6.50	--	--	--	--	--	--	-7.19	-4.70	-3.18	-2.00	-1.25	-0.78	-0.59	-0.62	-0.85	-0.88	-6.76	--
6.60	--	--	--	--	--	--	--	-6.52	-4.77	-3.35	-2.33	-1.59	-1.10	-0.77	-0.64	-0.31	-4.85	--
6.70	--	--	--	--	--	--	--	-8.48	-6.51	-4.86	-3.60	-2.60	-1.84	-1.20	-0.77	-0.13	-3.59	-7.69
6.80	--	--	--	--	--	--	--	--	-8.15	-6.29	-4.80	-3.57	-2.57	-1.65	-0.95	-0.07	-2.65	-5.82
6.90	--	--	--	--	--	--	--	--	--	-7.59	-5.89	-4.44	-3.21	-2.04	-1.10	-0.05	-1.92	-4.33
7.00	--	--	--	--	--	--	--	--	--	-8.78	-6.87	-5.22	-3.77	-2.38	-1.24	-0.05	-1.34	-3.12
7.10	--	--	--	--	--	--	--	--	--	--	-7.79	-5.94	-4.29	-2.70	-1.37	-0.08	-0.90	-2.16
7.20	--	--	--	--	--	--	--	--	--	--	-8.69	-6.65	-4.82	-3.04	-1.55	-0.17	-0.59	-1.41
7.30	--	--	--	--	--	--	--	--	--	--	--	-7.41	-5.40	-3.45	-1.81	-0.33	-0.42	-0.86
7.40	--	--	--	--	--	--	--	--	--	--	--	-8.23	-6.05	-3.94	-2.16	-0.59	-0.38	-0.50
7.50	--	--	--	--	--	--	--	--	--	--	--	--	-6.76	-4.50	-2.58	-0.92	-0.44	-0.29
7.60	--	--	--	--	--	--	--	--	--	--	--	--	-7.50	-5.09	-3.05	-1.29	-0.57	-0.17
7.70	--	--	--	--	--	--	--	--	--	--	--	--	-8.24	-5.70	-3.52	-1.66	-0.72	-0.10
7.80	--	--	--	--	--	--	--	--	--	--	--	--	-8.97	-6.29	-3.99	-2.02	-0.87	-0.07
7.90	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.86	-4.44	-2.36	-1.02	-0.05
8.00	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.42	-4.87	-2.68	-1.17	-0.03
8.10	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.95	-5.28	-2.98	-1.30	-0.02
8.20	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.48	-5.68	-3.26	-1.43	-0.02
8.30	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.99	-6.07	-3.53	-1.56	-0.01
8.40	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.44	-3.79	-1.68	-0.01
8.50	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.81	-4.03	-1.79	-0.01
8.60	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.17	-4.27	-1.90	-0.01
8.70	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.52	-4.50	-2.01	-0.00
8.80	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.86	-4.73	-2.12	-0.00
8.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.21	-4.95	-2.23	-0.00
9.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.55	-5.17	-2.34	-0.00
