#Te	V	V+1	V+2	V+3	V+4	V+5	V+6	V+7	V+8	V+9	V+10	V+11	V+12	V+13	V+14	V+15	V+16	V+17	V+18	V+19	V+20	V+21	V+22	V+23
6.70	--	--	--	--	--	--	--	--	-8.49	-7.27	-5.36	-3.62	-2.06	-0.72	-0.50	-0.55	-0.84	-1.35	-2.09	-2.92	-4.01	-4.98	--	--
6.80	--	--	--	--	--	--	--	--	--	-8.58	-6.48	-4.56	-2.83	-1.32	-0.83	-0.59	-0.58	-0.75	-1.12	-1.57	-2.25	-2.79	-8.75	--
6.90	--	--	--	--	--	--	--	--	--	--	-7.94	-5.85	-3.96	-2.29	-1.56	-1.05	-0.77	-0.64	-0.70	-0.81	-1.13	-1.32	-6.01	--
7.00	--	--	--	--	--	--	--	--	--	--	--	-7.57	-5.53	-3.69	-2.73	-1.98	-1.45	-1.05	-0.83	-0.65	-0.67	-0.55	-4.21	-8.53
7.10	--	--	--	--	--	--	--	--	--	--	--	--	-7.33	-5.33	-4.16	-3.18	-2.42	-1.78	-1.31	-0.87	-0.61	-0.26	-3.07	-6.51
7.20	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.96	-5.60	-4.41	-3.43	-2.57	-1.88	-1.20	-0.70	-0.15	-2.28	-4.98
7.30	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.51	-6.96	-5.57	-4.39	-3.33	-2.42	-1.53	-0.82	-0.10	-1.67	-3.77
7.40	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.25	-6.66	-5.30	-4.05	-2.95	-1.85	-0.95	-0.09	-1.20	-2.80
7.50	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.71	-6.17	-4.75	-3.47	-2.18	-1.11	-0.12	-0.84	-2.02
7.60	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.75	-7.05	-5.45	-4.00	-2.54	-1.30	-0.19	-0.58	-1.41
7.70	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.94	-6.18	-4.57	-2.94	-1.56	-0.32	-0.42	-0.95
7.80	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.87	-6.95	-5.18	-3.39	-1.87	-0.50	-0.36	-0.63
7.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.76	-5.83	-3.89	-2.23	-0.73	-0.37	-0.42
8.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.58	-6.51	-4.42	-2.62	-0.99	-0.43	-0.28
8.10	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.18	-4.95	-3.02	-1.26	-0.52	-0.19
8.20	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.85	-5.48	-3.42	-1.53	-0.63	-0.13
8.30	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.51	-6.01	-3.82	-1.80	-0.74	-0.10
8.40	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.53	-4.21	-2.06	-0.86	-0.07
8.50	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.04	-4.60	-2.32	-0.97	-0.05
8.60	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.55	-4.97	-2.57	-1.09	-0.04
8.70	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.04	-5.34	-2.82	-1.21	-0.03
8.80	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.53	-5.70	-3.07	-1.32	-0.02
8.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.05	-3.31	-1.44	-0.02
9.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.40	-3.56	-1.56	-0.01
