#Te	Ca	Ca+1	Ca+2	Ca+3	Ca+4	Ca+5	Ca+6	Ca+7	Ca+8	Ca+9	Ca+10	Ca+11	Ca+12	Ca+13	Ca+14	Ca+15	Ca+16	Ca+17	Ca+18	Ca+19	Ca+20
7.50	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.53	-6.59	-4.81	-3.06	-1.59	-0.29	-0.45	-0.98
7.60	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.37	-5.42	-3.51	-1.91	-0.50	-0.37	-0.61
7.70	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.20	-6.09	-4.03	-2.29	-0.78	-0.39	-0.37
7.80	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.79	-4.58	-2.71	-1.09	-0.48	-0.23
7.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.49	-5.15	-3.15	-1.42	-0.59	-0.15
8.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.18	-5.71	-3.58	-1.75	-0.73	-0.10
8.10	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.86	-6.26	-4.00	-2.06	-0.86	-0.07
8.20	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.79	-4.41	-2.35	-0.99	-0.05
8.30	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.31	-4.81	-2.63	-1.12	-0.04
8.40	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.82	-5.19	-2.90	-1.24	-0.03
8.50	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.31	-5.56	-3.16	-1.35	-0.02
8.60	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.80	-5.92	-3.40	-1.47	-0.02
8.70	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.28	-3.64	-1.58	-0.01
8.80	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.62	-3.87	-1.69	-0.01
8.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.97	-4.09	-1.80	-0.01
9.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.31	-4.31	-1.90	-0.01
