#Te	Ni	Ni+1	Ni+2	Ni+3	Ni+4	Ni+5	Ni+6	Ni+7	Ni+8	Ni+9	Ni+10	Ni+11	Ni+12	Ni+13	Ni+14	Ni+15	Ni+16	Ni+17	Ni+18	Ni+19	Ni+20	Ni+21	Ni+22	Ni+23	Ni+24	Ni+25	Ni+26	Ni+27	Ni+28
7.40	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.12	-6.33	-4.64	-3.69	-2.94	-2.29	-1.70	-1.25	-0.83	-0.56	-0.31	-2.62	-5.47
7.50	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.93	-6.08	-4.94	-4.00	-3.16	-2.37	-1.72	-1.10	-0.62	-0.19	-1.96	-4.26
7.60	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.46	-6.15	-5.03	-4.01	-3.04	-2.19	-1.38	-0.73	-0.14	-1.47	-3.29
7.70	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.78	-7.30	-6.02	-4.83	-3.68	-2.65	-1.68	-0.86	-0.12	-1.08	-2.50
7.80	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.42	-6.98	-5.63	-4.31	-3.12	-1.99	-1.02	-0.15	-0.78	-1.87
7.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.93	-6.43	-4.96	-3.60	-2.33	-1.21	-0.21	-0.56	-1.36
8.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.90	-7.24	-5.62	-4.12	-2.71	-1.45	-0.32	-0.42	-0.97
8.10	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.08	-6.32	-4.66	-3.13	-1.74	-0.48	-0.36	-0.68
8.20	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.94	-7.03	-5.24	-3.58	-2.06	-0.68	-0.35	-0.48
8.30	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.77	-5.83	-4.05	-2.41	-0.90	-0.39	-0.34
8.40	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.50	-6.43	-4.53	-2.76	-1.13	-0.46	-0.24
8.50	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.03	-5.01	-3.12	-1.37	-0.54	-0.18
8.60	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.62	-5.49	-3.47	-1.61	-0.63	-0.13
8.70	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.20	-5.96	-3.82	-1.84	-0.73	-0.10
8.80	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-8.77	-6.42	-4.15	-2.07	-0.83	-0.07
8.90	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-6.87	-4.48	-2.30	-0.93	-0.06
9.00	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	-7.32	-4.80	-2.52	-1.03	-0.04
